start_stn,r_weekday.1,r_weekday.2,r_weekday.3,r_weekday.4,r_weekday.5,r_weekday.6,r_weekday.7
382,0.150692992,0.146247385,0.144351464,0.136571653,0.142520921,0.141344142,0.138271444
383,0.155889982,0.153429465,0.153372244,0.148584726,0.155336843,0.127775235,0.105611505
384,0.15089183,0.162039701,0.146216916,0.158371692,0.156861335,0.124856157,0.100762371
385,0.149615236,0.157537512,0.146232947,0.147027444,0.15821851,0.129957097,0.111411255
386,0.156890205,0.172615237,0.161051536,0.16353233,0.158570743,0.100872279,0.08646767
387,0.150909454,0.156306216,0.154057565,0.148061163,0.155506696,0.13876674,0.096392165
388,0.141333333,0.150541667,0.14975,0.142083333,0.150583333,0.148,0.117708333
389,0.156248545,0.170816849,0.160344426,0.16039097,0.174493833,0.10840121,0.069304166
390,0.156617704,0.161385834,0.148581097,0.14877336,0.154387449,0.122587095,0.107667461
391,0.152432273,0.16490736,0.154720602,0.150291577,0.165497896,0.113973573,0.098176718
393,0.154470294,0.158008075,0.152009229,0.151009421,0.155431648,0.126360315,0.102711017
394,0.166145833,0.168333333,0.149791667,0.164479167,0.15625,0.106145833,0.088854167
395,0.156905055,0.162530826,0.149815043,0.15467016,0.150123305,0.121146732,0.104808878
397,0.146325827,0.15762481,0.146646366,0.149290809,0.154259155,0.138793173,0.107059861
398,0.147206529,0.161330822,0.145166353,0.140379787,0.170825487,0.141399874,0.093691149
399,0.151494868,0.159303882,0.142347166,0.149933066,0.157518965,0.128290942,0.111111111
400,0.145291297,0.152127334,0.146957793,0.145427337,0.15362378,0.13610856,0.120463898
401,0.148831013,0.149647585,0.147455733,0.141395909,0.151108819,0.138086643,0.123474299
402,0.151413257,0.147817692,0.14252422,0.144288711,0.153743716,0.137696841,0.122515564
403,0.159626108,0.162715128,0.156898143,0.156416737,0.159706343,0.107193004,0.097444538
404,0.191881919,0.210332103,0.20295203,0.221402214,0.136531365,0.025830258,0.011070111
405,0.161278016,0.175441106,0.167525036,0.167763472,0.17892227,0.077920839,0.071149261
406,0.149707723,0.155553256,0.13698205,0.144534685,0.145724484,0.13563706,0.131860742
407,0.157577201,0.163253156,0.149837263,0.157418433,0.161427324,0.116892911,0.093593713
408,0.165790607,0.170501221,0.167887405,0.172827804,0.170788453,0.079391067,0.072813442
409,0.152450313,0.165763681,0.157419004,0.159161448,0.163313368,0.107800163,0.094092023
410,0.15627444,0.150373267,0.155634554,0.145680768,0.156629932,0.117170281,0.118236758
411,0.146913655,0.162086405,0.158521723,0.165072208,0.158948266,0.112729267,0.095728475
412,0.168107053,0.171990123,0.166255128,0.173403959,0.170795332,0.076705564,0.072742841
413,0.146921408,0.143375605,0.14592024,0.141581845,0.144960788,0.143041882,0.134198231
